"Ex/Eff Date","Type","Cash Amount","Declaration Date","Record Date","Payment Date"
6/17/2016,Cash,1.078442,6/16/2016,6/21/2016,6/27/2016
3/18/2016,Cash,1.049604,3/17/2016,3/22/2016,4/29/2016
12/18/2015,Cash,1.21155,12/17/2015,12/22/2015,1/29/2016
9/18/2015,Cash,1.03343,9/17/2015,9/22/2015,10/30/2015
6/19/2015,Cash,1.03007,6/18/2015,6/23/2015,7/31/2015
3/20/2015,Cash,0.93081,3/19/2015,3/24/2015,4/30/2015
12/19/2014,Cash,1.13492,12/18/2014,12/23/2014,1/30/2015
9/19/2014,Cash,0.93919,9/18/2014,9/23/2014,10/31/2014
6/20/2014,Cash,0.93669,6/19/2014,6/24/2014,7/31/2014
3/21/2014,Cash,0.82461,--,3/25/2014,4/30/2014
12/20/2013,Cash,0.98025,--,--,--
9/20/2013,Cash,0.83795,--,9/24/2013,10/31/2013
6/21/2013,Cash,0.83912,--,6/25/2013,7/31/2013
3/15/2013,Cash,0.693721,--,3/19/2013,4/30/2013
12/21/2012,Cash,1.02183,--,12/26/2012,1/31/2013
9/21/2012,Cash,0.77945,--,--,--
6/15/2012,Cash,0.68826,--,6/19/2012,7/31/2012
3/16/2012,Cash,0.61389,--,3/20/2012,4/30/2012
12/16/2011,Cash,0.77013,--,--,--
9/16/2011,Cash,0.62495,--,9/20/2011,10/31/2011
6/17/2011,Cash,0.62762,--,--,--
3/18/2011,Cash,0.55332,3/17/2011,3/22/2011,4/29/2011
9/17/2010,Cash,0.60213,--,9/21/2010,9/29/2010
3/19/2010,Cash,0.48038,--,3/23/2010,3/31/2010
9/19/2008,Cash,0.69092,--,9/23/2008,10/31/2008
6/20/2008,Cash,0.66922,--,6/24/2008,7/31/2008
3/20/2008,Cash,0.64195,--,3/25/2008,4/30/2008
9/21/2007,Cash,0.71872,--,9/25/2007,10/31/2007
6/15/2007,Cash,0.6556,--,6/19/2007,7/31/2007
3/16/2007,Cash,0.55127,--,3/20/2007,4/30/2007
9/15/2006,Cash,0.57934,--,9/19/2006,10/31/2006
6/16/2006,Cash,0.55547,--,6/20/2006,7/31/2006
3/17/2006,Cash,0.51947,--,3/21/2006,4/28/2006
12/16/2005,Cash,0.67167,--,12/20/2005,1/31/2006
9/16/2005,Cash,0.52169,--,9/20/2005,10/31/2005
6/17/2005,Cash,0.48762,--,6/21/2005,7/29/2005
3/18/2005,Cash,0.46709,--,3/22/2005,4/29/2005
11/15/2004,Cash,0.35102,--,11/17/2004,12/2/2004
9/17/2004,Cash,0.46878,--,9/21/2004,10/29/2004
6/18/2004,Cash,0.41376,--,6/22/2004,7/30/2004
3/19/2004,Cash,0.39476,--,--,--
12/19/2003,Cash,0.51559,--,12/19/2003,--
9/19/2003,Cash,0.40006,--,9/23/2003,--
6/20/2003,Cash,0.63025,--,6/24/2003,7/31/2003
3/21/2003,Cash,0.35438,--,3/21/2003,--
12/20/2002,Cash,0.43584,--,12/20/2002,--
9/20/2002,Cash,0.3781,--,9/20/2002,--
6/21/2002,Cash,0.35337,--,6/21/2002,--
3/15/2002,Cash,0.33098,--,3/15/2002,--
12/21/2001,Cash,0.39277,--,12/21/2001,--
9/21/2001,Cash,0.369,--,9/21/2001,--
6/15/2001,Cash,0.34644,--,6/19/2001,--
3/16/2001,Cash,0.31551,--,3/20/2001,--
12/15/2000,Cash,0.41133,--,12/15/2000,--
9/15/2000,Cash,0.37531,--,9/19/2000,--
6/16/2000,Cash,0.34841,1/1/1999,6/16/2000,--
3/17/2000,Cash,0.37082,1/1/1999,3/17/2000,1/1/1999
12/17/1999,Cash,0.34755,1/1/1999,12/17/1999,1/1/1999